code,name,foreignStreak,foreignLots,ratioDate1,ratio1,ratioDate2,ratio2,ratioDate3,ratio3,ratioIncrease,close,changePct,foreignTrustBuyVolumePct,breakoutScore,entryType,heatWarning
1714,和桐,4,7454,20260529,56.32,20260605,58.37,20260612,59.12,2.8,16.7,9.87,9.15,36,過熱觀察,接近漲停、5日漲幅過熱
6182,合晶,6,746,20260529,33.88,20260605,34.86,20260612,35.75,1.87,97.7,9.9,9.72,45,過熱觀察,接近漲停、5日漲幅過熱
2103,台橡,4,808,20260529,47.42,20260605,48.98,20260612,49.04,1.62,22.3,0.9,13.87,76,突破,正常
2501,國建,7,1774,20260529,72.29,20260605,72.62,20260612,73.88,1.59,27,1.89,12.69,74,拉回,正常
4306,炎洲,7,466,20260529,48.92,20260605,49.66,20260612,50.49,1.57,16.15,0.31,10.78,80,突破,正常
1722,台肥,7,1052,20260529,58.44,20260605,58.93,20260612,59.65,1.21,48.85,0.93,32.41,82,突破,正常
2637,慧洋-KY,5,1292,20260529,75.81,20260605,76.4,20260612,76.96,1.15,79.2,0.89,11.92,74,拉回,正常
2903,遠百,5,888,20260529,75.85,20260605,76.18,20260612,76.83,0.98,24.2,1.47,57.62,83,突破,正常
2915,潤泰全,7,1663,20260529,61.53,20260605,61.83,20260612,62.39,0.86,53.4,4.71,41.28,79,突破,正常
3045,台灣大,7,561,20260529,89.52,20260605,89.72,20260612,90.11,0.59,119.5,0,3.91,68,拉回,正常
1909,榮成,7,700,20260529,61.69,20260605,61.7,20260612,62.11,0.42,9.87,0,15.73,72,突破,正常
